1,0.4,0.575,0.5,0.5,0.6
1,0.425,0.525,0.45,0.45,0.4
1,0.95,0.85,0.95,0.95,0.925
1,0.675,0.7,0.875,0.8,0.85
1,0.375,0.475,0.5,0.525,0.55
1,0.975,0.85,0.975,0.95,0.925
1,0.75,0.825,0.85,0.8,0.825
1,0.875,0.725,0.75,0.775,0.775
1,0.4,0.575,0.5,0.45,0.55
1,0.425,0.5,0.575,0.325,0.55
0,0.475,0.525,0.5,0.575,0.45
0,0.475,0.5,0.5,0.5,0.45
0,0.55,0.4,0.525,0.475,0.575
0,0.55,0.45,0.45,0.45,0.525
0,0.5,0.6,0.5,0.525,0.55
0,0.475,0.475,0.425,0.525,0.575
0,0.45,0.55,0.5,0.525,0.5
0,0.525,0.475,0.525,0.5,0.475
0,0.55,0.525,0.575,0.425,0.5
0,0.575,0.45,0.425,0.6,0.45
